Date	Open	High	Low	Close	Change (Pips)	Change (%)
Nov 28, 2016 00:00	6835.6	6845.1	6770.1	6794.4	-41.2	-0.61%
Nov 25, 2016 00:00	6831.2	6855.1	6816.9	6840.4	+9.2	+0.13%
Nov 24, 2016 00:00	6824.7	6840.1	6792.2	6823.2	-1.5	-0.02%
Nov 23, 2016 00:00	6850.9	6884.7	6781	6830.7	-20.2	-0.30%
Nov 22, 2016 00:00	6788.2	6855.9	6784.2	6851.2	+63.0	+0.92%
Nov 21, 2016 00:00	6772.7	6825.4	6755.9	6788.2	+15.5	+0.23%
Nov 18, 2016 00:00	6807.2	6815.4	6742.3	6773.6	-33.6	-0.50%
Nov 17, 2016 00:00	6748.8	6811.3	6747.3	6806.7	+57.9	+0.85%
Nov 16, 2016 00:00	6822.3	6839.4	6736.9	6751.3	-71.0	-1.05%
Nov 15, 2016 00:00	6771.8	6826.3	6763.8	6823.3	+51.5	+0.75%
Nov 14, 2016 00:00	6749.9	6819.8	6735.8	6772.6	+22.7	+0.34%
Nov 11, 2016 00:00	6828.9	6858.3	6711.8	6742.7	-86.2	-1.28%
Nov 10, 2016 00:00	6897	7001	6800.7	6829.7	-67.3	-0.99%
Nov 09, 2016 00:00	6864.3	6955	6518.1	6915.6	+51.3	+0.74%
Nov 08, 2016 00:00	6821.7	6878.5	6792	6863.8	+42.1	+0.61%
Nov 07, 2016 00:00	6710.1	6822.6	6705.4	6820.9	+110.8	+1.62%
Nov 04, 2016 00:00	6759.2	6777.2	6657.2	6659.9	-99.3	-1.49%
Nov 03, 2016 00:00	6842.4	6875.9	6751.9	6762	-80.4	-1.19%
Nov 02, 2016 00:00	6899.2	6911.8	6828.5	6843.5	-55.7	-0.81%
Nov 01, 2016 00:00	6942.1	6997.1	6883.7	6907.3	-34.8	-0.50%
Oct 31, 2016 00:00	6946.8	6990.7	6934.6	6944.1	-2.7	-0.04%
Oct 28, 2016 00:00	6982	7012	6928.6	6963.2	-18.8	-0.27%
Oct 27, 2016 00:00	6941.9	7015.4	6914	6981.4	+39.5	+0.57%
Oct 26, 2016 00:00	7009.5	7010.2	6921.2	6941.7	-67.8	-0.98%
Oct 25, 2016 00:00	7007	7074.2	6999	7008.5	+1.5	+0.02%
Oct 24, 2016 00:00	7045.7	7075	6987	7007.5	-38.2	-0.55%
Oct 21, 2016 00:00	7037.2	7065.5	7016.2	7038.7	+1.5	+0.02%
Oct 20, 2016 00:00	7011.2	7055.3	7003.9	7037.5	+26.3	+0.37%
Oct 19, 2016 00:00	7003.4	7041.1	6982.1	7020.1	+16.7	+0.24%
Oct 18, 2016 00:00	6952.6	7041.1	6949.1	7003.6	+51.0	+0.73%
Oct 17, 2016 00:00	7014.9	7023.6	6941.7	6953.4	-61.5	-0.88%
Oct 14, 2016 00:00	6999.1	7062.2	6988.9	7015.6	+16.5	+0.24%
Oct 13, 2016 00:00	7029.4	7041.6	6934.7	6999.4	-30.0	-0.43%
Oct 12, 2016 00:00	7087.6	7094.9	7021.2	7031.4	-56.2	-0.80%
Oct 11, 2016 00:00	7106.7	7136.6	7060.5	7088.9	-17.8	-0.25%
Oct 10, 2016 00:00	7072.8	7111.1	7030.1	7106.9	+34.1	+0.48%
Oct 07, 2016 00:00	7036.4	7086	7019.9	7054.4	+18.0	+0.26%
Oct 06, 2016 00:00	7044	7065.6	7005.9	7036.2	-7.8	-0.11%
Oct 05, 2016 00:00	7059.8	7087.4	7029.1	7047.2	-12.6	-0.18%
Oct 04, 2016 00:00	6972.7	7135.6	6971.7	7058.9	+86.2	+1.22%
Oct 03, 2016 00:00	6888	7004	6887.2	6973	+85.0	+1.22%
Sep 30, 2016 00:00	6878.9	6928.9	6815.4	6900.9	+22.0	+0.32%
Sep 29, 2016 00:00	6897.7	6948.5	6857.6	6884.7	-13.0	-0.19%
Sep 28, 2016 00:00	6824.3	6911.2	6809.3	6899.3	+75.0	+1.09%
Sep 27, 2016 00:00	6824.8	6876.4	6773.5	6824.5	-0.3	+0.00%
Sep 26, 2016 00:00	6892.6	6911.9	6809.4	6822.7	-69.9	-1.02%
Sep 23, 2016 00:00	6908.1	6925.8	6887.3	6902.3	-5.8	-0.08%
Sep 22, 2016 00:00	6870.3	6942.8	6863.1	6908.6	+38.3	+0.55%
Sep 21, 2016 00:00	6821.1	6883.8	6819.9	6870.7	+49.6	+0.72%
Sep 20, 2016 00:00	6797.6	6873.2	6783.4	6819.4	+21.8	+0.32%
Sep 19, 2016 00:00	6739.4	6821.5	6736.7	6797.9	+58.5	+0.86%
Sep 16, 2016 00:00	6730.2	6751.2	6695.2	6744.5	+14.3	+0.21%
Sep 15, 2016 00:00	6658.1	6752.4	6640.1	6729.5	+71.4	+1.06%
Sep 14, 2016 00:00	6680.1	6720.3	6645.8	6659.6	-20.5	-0.31%
Sep 13, 2016 00:00	6758.2	6758.2	6646.3	6680.6	-77.6	-1.16%
Sep 12, 2016 00:00	6707.9	6765.5	6653.8	6758.7	+50.8	+0.75%
Sep 09, 2016 00:00	6850	6859.2	6708.9	6710.7	-139.3	-2.08%
Sep 08, 2016 00:00	6830.2	6889.2	6817.7	6851	+20.8	+0.30%
Sep 07, 2016 00:00	6832.8	6855.8	6813.8	6832.1	-0.7	-0.01%
Sep 06, 2016 00:00	6880.1	6899.3	6817.8	6833.8	-46.3	-0.68%
Sep 05, 2016 00:00	6897.4	6926.3	6868.3	6880.3	-17.1	-0.25%
Sep 02, 2016 00:00	6758.8	6931.2	6755.3	6896.3	+137.5	+1.99%
Sep 01, 2016 00:00	6780.6	6827.8	6723.2	6758.3	-22.3	-0.33%
Aug 31, 2016 00:00	6826.3	6833.9	6764.4	6782.4	-43.9	-0.65%
Aug 30, 2016 00:00	6827.3	6854.1	6808.9	6826	-1.3	-0.02%
Aug 26, 2016 00:00	6812.9	6860.6	6771.1	6796.7	-16.2	-0.24%
Aug 25, 2016 00:00	6818.2	6829.1	6780.1	6813.1	-5.1	-0.07%
Aug 24, 2016 00:00	6856.9	6869.4	6813.1	6819.8	-37.1	-0.54%
Aug 23, 2016 00:00	6843.4	6887.9	6838.7	6857.2	+13.8	+0.20%
Aug 22, 2016 00:00	6863.4	6888.9	6814.5	6844.4	-19.0	-0.28%
Aug 19, 2016 00:00	6873.7	6880.8	6843.4	6862.9	-10.8	-0.16%
Aug 18, 2016 00:00	6890.1	6903.4	6852.4	6873.9	-16.2	-0.24%
Aug 17, 2016 00:00	6900.6	6923	6850.9	6898.5	-2.1	-0.03%
Aug 16, 2016 00:00	6933.8	6943.5	6892	6901.6	-32.2	-0.47%
Aug 15, 2016 00:00	6908.9	6958.9	6907.7	6933.9	+25.0	+0.36%
Aug 12, 2016 00:00	6899	6933.9	6897.9	6906.5	+7.5	+0.11%
Aug 11, 2016 00:00	6810.6	6920.5	6809.4	6899.2	+88.6	+1.28%
Aug 10, 2016 00:00	6834.8	6869.2	6819.2	6848.8	+14.0	+0.20%
Aug 09, 2016 00:00	6811.4	6865.5	6807.2	6834.4	+23.0	+0.34%
Aug 08, 2016 00:00	6787.1	6832.1	6783.2	6811.6	+24.5	+0.36%
Aug 05, 2016 00:00	6759	6805.9	6739.4	6790.5	+31.5	+0.46%
Aug 04, 2016 00:00	6633	6762.9	6616.7	6758.7	+125.7	+1.86%
Aug 03, 2016 00:00	6660	6680.4	6622.5	6643.4	-16.6	-0.25%
Aug 02, 2016 00:00	6674.4	6699.5	6634.4	6660.3	-14.1	-0.21%
Aug 01, 2016 00:00	6748.2	6773.6	6669.1	6673.9	-74.3	-1.11%
Jul 29, 2016 00:00	6734.6	6746.6	6694.1	6735.9	+1.3	+0.02%
Jul 28, 2016 00:00	6736	6767.2	6714.6	6735.1	-0.9	-0.01%
Jul 27, 2016 00:00	6741.5	6784.3	6727.8	6738.6	-2.9	-0.04%
Jul 26, 2016 00:00	6710	6751	6704.6	6741.3	+31.3	+0.46%
Jul 25, 2016 00:00	6731.8	6761.6	6696	6711.5	-20.3	-0.30%
Jul 22, 2016 00:00	6684.8	6743.1	6667.6	6729.5	+44.7	+0.66%
Jul 21, 2016 00:00	6704.3	6738.1	6682	6688.5	-15.8	-0.24%
Jul 20, 2016 00:00	6709.4	6743.9	6695	6704.7	-4.7	-0.07%
Jul 19, 2016 00:00	6699.2	6717.7	6665.3	6710.2	+11.0	+0.16%
Jul 18, 2016 00:00	6640.1	6722.3	6640.1	6698.5	+58.4	+0.87%
Jul 15, 2016 00:00	6666.2	6684.9	6616.9	6657.9	-8.3	-0.12%
